event_id,machine_nr,event_time,event_type,metric_value
E00000001,M000001,2025-11-25T07:43:24,lot_started,
E00000002,M000001,2025-11-25T08:26:08,lot_completed,31.036
E00000003,M000002,2025-11-25T05:45:36,test_started,
E00000004,M000002,2025-11-25T05:55:00,test_completed,0.848
E00000005,M000002,2025-11-25T15:09:08,lot_started,
E00000006,M000002,2025-11-25T17:08:58,lot_completed,96.22
E00000007,M000003,2025-11-25T06:14:41,lot_started,
E00000008,M000003,2025-11-25T09:25:09,lot_completed,9.903
E00000009,M000003,2025-11-25T16:46:44,test_started,
E00000010,M000003,2025-11-25T17:27:36,test_completed,19.412
E00000011,M000003,2025-11-25T22:40:52,lot_started,
E00000012,M000003,2025-11-25T23:59:59.999999,lot_completed,29.607
E00000013,M000004,2025-11-25T00:37:34,test_started,
E00000014,M000004,2025-11-25T00:57:16,test_completed,1.809
E00000015,M000004,2025-11-25T11:50:43,lot_started,
E00000016,M000004,2025-11-25T16:59:22,lot_completed,78.27
E00000017,M000005,2025-11-25T07:45:22,test_started,
E00000018,M000005,2025-11-25T08:31:54,test_completed,9.641
E00000019,M000005,2025-11-25T15:37:41,test_started,
E00000020,M000005,2025-11-25T16:15:34,test_completed,34.385
E00000021,M000006,2025-11-25T17:38:24,lot_started,
E00000022,M000006,2025-11-25T18:01:27,lot_completed,8.468
E00000023,M000006,2025-11-25T19:23:18,lot_started,
E00000024,M000006,2025-11-25T23:59:59.999999,lot_completed,21.297
E00000025,M000006,2025-11-25T19:27:15,test_started,
E00000026,M000006,2025-11-25T20:08:43,test_completed,50.589
E00000027,M000007,2025-11-25T12:20:13,test_started,
E00000028,M000007,2025-11-25T12:28:29,test_completed,29.122
E00000029,M000007,2025-11-25T13:24:08,test_started,
E00000030,M000007,2025-11-25T13:33:52,test_completed,57.996
E00000031,M000008,2025-11-25T11:40:38,lot_started,
E00000032,M000008,2025-11-25T15:09:17,lot_completed,86.617
E00000033,M000009,2025-11-25T04:33:06,test_started,
E00000034,M000009,2025-11-25T04:41:25,test_completed,61.519
E00000035,M000010,2025-11-25T02:47:26,lot_started,
E00000036,M000010,2025-11-25T05:14:06,lot_completed,36.489
E00000037,M000010,2025-11-25T20:46:53,test_started,
E00000038,M000010,2025-11-25T21:25:54,test_completed,53.429
E00000039,M000011,2025-11-25T16:40:00,test_started,
E00000040,M000011,2025-11-25T16:47:51,test_completed,78.701
E00000041,M000012,2025-11-25T00:27:02,lot_started,
E00000042,M000012,2025-11-25T01:30:53,lot_completed,82.612
E00000043,M000012,2025-11-25T22:20:35,lot_started,
E00000044,M000012,2025-11-25T23:59:59.999999,lot_completed,42.101
E00000045,M000013,2025-11-25T16:25:01,lot_started,
E00000046,M000013,2025-11-25T17:52:49,lot_completed,74.401
E00000047,M000014,2025-11-25T15:50:29,test_started,
E00000048,M000014,2025-11-25T16:46:02,test_completed,97.026
E00000049,M000015,2025-11-25T09:13:34,test_started,
E00000050,M000015,2025-11-25T09:35:32,test_completed,10.013
E00000051,M000015,2025-11-25T20:01:57,test_started,
E00000052,M000015,2025-11-25T20:05:09,test_completed,2.726
E00000053,M000016,2025-11-25T11:39:35,test_started,
E00000054,M000016,2025-11-25T12:06:47,test_completed,31.328
E00000055,M000016,2025-11-25T21:43:13,lot_started,
E00000056,M000016,2025-11-25T23:59:59.999999,lot_completed,96.981
E00000057,M000017,2025-11-25T04:03:16,lot_started,
E00000058,M000017,2025-11-25T09:00:46,lot_completed,86.761
E00000059,M000017,2025-11-25T09:06:16,test_started,
E00000060,M000017,2025-11-25T09:51:56,test_completed,35.583
E00000061,M000018,2025-11-25T19:43:08,lot_started,
E00000062,M000018,2025-11-25T21:58:41,lot_completed,36.046
E00000063,M000019,2025-11-25T03:15:19,lot_started,
E00000064,M000019,2025-11-25T09:07:44,lot_completed,33.888
E00000065,M000019,2025-11-25T16:18:27,lot_started,
E00000066,M000019,2025-11-25T19:06:59,lot_completed,4.105
E00000067,M000020,2025-11-25T11:31:55,test_started,
E00000068,M000020,2025-11-25T11:49:11,test_completed,33.433
E00000069,M000021,2025-11-25T21:04:48,lot_started,
E00000070,M000021,2025-11-25T21:16:55,lot_completed,80.826
E00000071,M000021,2025-11-25T21:41:54,test_started,
E00000072,M000021,2025-11-25T21:47:20,test_completed,26.806
E00000073,M000021,2025-11-25T22:15:36,lot_started,
E00000074,M000021,2025-11-25T22:28:20,lot_completed,63.538
E00000075,M000022,2025-11-25T13:04:39,test_started,
E00000076,M000022,2025-11-25T14:04:02,test_completed,85.912
E00000077,M000022,2025-11-25T17:57:32,lot_started,
E00000078,M000022,2025-11-25T20:57:42,lot_completed,7.711
E00000079,M000023,2025-11-25T05:26:43,lot_started,
E00000080,M000023,2025-11-25T08:22:21,lot_completed,30.562
E00000081,M000023,2025-11-25T06:18:27,test_started,
E00000082,M000023,2025-11-25T06:27:34,test_completed,89.376
E00000083,M000023,2025-11-25T06:32:16,lot_started,
E00000084,M000023,2025-11-25T06:50:36,lot_completed,77.974
E00000085,M000024,2025-11-25T06:29:11,test_started,
E00000086,M000024,2025-11-25T06:59:13,test_completed,53.749
E00000087,M000024,2025-11-25T07:28:46,lot_started,
E00000088,M000024,2025-11-25T09:44:49,lot_completed,25.259
E00000089,M000024,2025-11-25T20:07:56,lot_started,
E00000090,M000024,2025-11-25T23:59:59.999999,lot_completed,80.825
E00000091,M000025,2025-11-25T09:06:36,test_started,
E00000092,M000025,2025-11-25T09:07:50,test_completed,39.571
E00000093,M000025,2025-11-25T15:59:52,test_started,
E00000094,M000025,2025-11-25T16:12:04,test_completed,25.797
E00000095,M000025,2025-11-25T19:42:39,lot_started,
E00000096,M000025,2025-11-25T23:31:12,lot_completed,97.631
E00000097,M000026,2025-11-25T02:16:08,test_started,
E00000098,M000026,2025-11-25T02:56:13,test_completed,13.828
E00000099,M000027,2025-11-25T05:02:32,test_started,
E00000100,M000027,2025-11-25T05:59:37,test_completed,27.691
E00000101,M000028,2025-11-25T06:16:07,lot_started,
E00000102,M000028,2025-11-25T06:21:12,lot_completed,17.758
E00000103,M000028,2025-11-25T14:36:10,test_started,
E00000104,M000028,2025-11-25T15:10:51,test_completed,89.304
E00000105,M000028,2025-11-25T22:17:54,test_started,
E00000106,M000028,2025-11-25T23:05:15,test_completed,63.911
E00000107,M000029,2025-11-25T08:40:44,test_started,
E00000108,M000029,2025-11-25T09:15:01,test_completed,68.695
E00000109,M000030,2025-11-25T15:00:33,test_started,
E00000110,M000030,2025-11-25T15:39:18,test_completed,61.129
E00000111,M000031,2025-11-25T10:01:14,lot_started,
E00000112,M000031,2025-11-25T10:41:18,lot_completed,76.319
E00000113,M000031,2025-11-25T23:32:06,test_started,
E00000114,M000031,2025-11-25T23:43:29,test_completed,51.163
E00000115,M000031,2025-11-25T23:47:23,lot_started,
E00000116,M000031,2025-11-25T23:59:59.999999,lot_completed,84.899
E00000117,M000032,2025-11-25T06:00:50,lot_started,
E00000118,M000032,2025-11-25T11:32:50,lot_completed,96.008
E00000119,M000032,2025-11-25T16:55:19,test_started,
E00000120,M000032,2025-11-25T17:07:51,test_completed,15.578
E00000121,M000033,2025-11-25T07:55:23,lot_started,
E00000122,M000033,2025-11-25T11:31:20,lot_completed,71.715
E00000123,M000033,2025-11-25T20:44:07,test_started,
E00000124,M000033,2025-11-25T21:10:49,test_completed,51.506
E00000125,M000034,2025-11-25T19:48:52,lot_started,
E00000126,M000034,2025-11-25T20:39:14,lot_completed,80.794
E00000127,M000035,2025-11-25T03:02:53,lot_started,
E00000128,M000035,2025-11-25T08:40:47,lot_completed,84.193
E00000129,M000035,2025-11-25T03:40:44,lot_started,
E00000130,M000035,2025-11-25T05:53:20,lot_completed,97.121
