state_id,machine_nr,state_code,state_desc,start_time,end_time
S0000001,M000001,1-P,Productive,2025-11-25T07:43:24,2025-11-25T08:26:08
S0001673,M000001,3-Idle,Idle,2025-11-25T08:26:08,2025-11-26T00:28:52
S0000002,M000001,1-P,Productive,2025-11-26T00:28:52,2025-11-26T03:53:58
S0001674,M000001,3-Idle,Idle,2025-11-26T03:53:58,2025-11-26T10:47:31
S0000003,M000001,2-Stand By,Stand By,2025-11-26T10:47:31,2025-11-26T11:17:51
S0001675,M000001,3-Idle,Idle,2025-11-26T11:17:51,2025-11-26T19:51:11
S0000004,M000001,2-Stand By,Stand By,2025-11-26T19:51:11,2025-11-26T20:43:28
S0001676,M000001,3-Idle,Idle,2025-11-26T20:43:28,2025-11-27T06:43:15
S0000005,M000001,2-Stand By,Stand By,2025-11-27T06:43:15,2025-11-27T07:33:26
S0001677,M000001,3-Idle,Idle,2025-11-27T07:33:26,2025-11-28T12:58:36
S0000006,M000001,1-P,Productive,2025-11-28T12:58:36,2025-11-28T18:39:10
S0000007,M000001,2-Stand By,Stand By,2025-11-28T17:15:16,2025-11-28T17:26:35
S0001678,M000001,3-Idle,Idle,2025-11-28T17:26:35,2025-11-28T23:50:34
S0000008,M000001,1-P,Productive,2025-11-28T23:50:34,2025-11-28T23:59:59.999999
S0001679,M000001,3-Idle,Idle,2025-11-28T23:59:59.999999,2025-11-29T20:03:19
S0000009,M000001,2-Stand By,Stand By,2025-11-29T20:03:19,2025-11-29T20:19:50
S0001680,M000001,3-Idle,Idle,2025-11-29T20:19:50,2025-11-29T23:20:31
S0000010,M000001,2-Stand By,Stand By,2025-11-29T23:20:31,2025-11-29T23:59:59.999999
S0001681,M000001,3-Idle,Idle,2025-11-29T23:59:59.999999,2025-11-30T15:43:59
S0000011,M000001,2-Stand By,Stand By,2025-11-30T15:43:59,2025-11-30T16:24:08
S0001682,M000001,3-Idle,Idle,2025-11-30T16:24:08,2025-11-30T19:43:51
S0000012,M000001,1-P,Productive,2025-11-30T19:43:51,2025-11-30T22:59:04
S0000013,M000001,1-P,Productive,2025-11-30T21:51:18,2025-11-30T22:59:04
S0001683,M000001,3-Idle,Idle,2025-11-30T22:59:04,2025-12-01T14:19:46
S0000014,M000001,2-Stand By,Stand By,2025-12-01T14:19:46,2025-12-01T15:13:49
S0001684,M000001,3-Idle,Idle,2025-12-01T15:13:49,2025-12-02T06:17:37
S0000015,M000001,1-P,Productive,2025-12-02T06:17:37,2025-12-02T06:52:51
S0001685,M000001,3-Idle,Idle,2025-12-02T06:52:51,2025-12-02T19:22:27
S0000016,M000001,1-P,Productive,2025-12-02T19:22:27,2025-12-02T23:59:59.999999
S0001686,M000001,3-Idle,Idle,2025-12-02T23:59:59.999999,2025-12-03T14:43:38
S0000017,M000001,1-P,Productive,2025-12-03T14:43:38,2025-12-03T17:20:33
S0001687,M000001,3-Idle,Idle,2025-12-03T17:20:33,2025-12-04T12:57:45
S0000018,M000001,1-P,Productive,2025-12-04T12:57:45,2025-12-04T15:31:48
S0000019,M000001,2-Stand By,Stand By,2025-12-04T14:46:15,2025-12-04T15:19:44
S0001688,M000001,3-Idle,Idle,2025-12-04T15:19:44,2025-12-05T04:49:23
S0000020,M000001,2-Stand By,Stand By,2025-12-05T04:49:23,2025-12-05T05:05:04
S0001689,M000001,3-Idle,Idle,2025-12-05T05:05:04,2025-12-05T08:56:11
S0000021,M000001,2-Stand By,Stand By,2025-12-05T08:56:11,2025-12-05T09:09:11
S0001690,M000001,3-Idle,Idle,2025-12-05T09:09:11,2025-12-05T14:16:27
S0000022,M000001,1-P,Productive,2025-12-05T14:16:27,2025-12-05T17:17:52
S0001691,M000001,3-Idle,Idle,2025-12-05T17:17:52,2025-12-06T04:53:33
S0000023,M000001,1-P,Productive,2025-12-06T04:53:33,2025-12-06T06:09:56
S0000024,M000001,2-Stand By,Stand By,2025-12-06T05:27:42,2025-12-06T06:02:46
S0001692,M000001,3-Idle,Idle,2025-12-06T06:02:46,2025-12-06T07:33:07
S0000025,M000001,2-Stand By,Stand By,2025-12-06T07:33:07,2025-12-06T08:15:18
S0001693,M000001,3-Idle,Idle,2025-12-06T08:15:18,2025-12-07T05:23:58
S0000026,M000001,2-Stand By,Stand By,2025-12-07T05:23:58,2025-12-07T05:32:46
